region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlert
African Region,AfrD,Ghana,Accra,1,98,2008,,,,49,2008,,,,NA,
African Region,AfrD,Liberia,Buchanan,2,66,2009,,,,9,2009,,,,54%,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
African Region,AfrD,Liberia,Sanniquellie,3,52,2009,,,,10,2009,,,,60%,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
African Region,AfrD,Mauritius,Beau Bassin-Rose Hill,4,131,2011,,,,66,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",2 months,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
African Region,AfrD,Mauritius,Flacq,5,37,2010,,,,19,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",2 months,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
African Region,AfrD,Mauritius,Midlands,6,20,2011,,,,10,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",2 months,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
African Region,AfrD,Mauritius,Port Louis,7,22,2010,,,,11,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",2 months,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
African Region,AfrD,Senegal,Dakar,8,179,2012,,,,40,2012,,,,NA,
African Region,AfrE,South Africa,Cape Town,9,30,2011,,,,16,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",12 months,
African Region,AfrE,South Africa,Durban,10,26,2012,,,,14,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",12 months,
African Region,AfrE,South Africa,Pretoria,11,51,2012,,,,24,2012,,,,12 months,
African Region,AfrE,South Africa,Johannesburg,12,98,2011,,,,51,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",12 months,
African Region,AfrE,South Africa,Tshwane,13,59,2012,,,,31,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",12 months,
African Region,AfrE,South Africa,Waterberg,15,48,2012,,,,11,2012,,,,12 months,
