region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlertPM10,dataCoverageAlertPM2.5,Number and type of monitoring stations (PM10),Number and type of monitoring stations (PM2.5),Reference
Eastern Mediterranean Region,Emr LMI,Afghanistan,Kabul,1,260,2009,,,,86,2009,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","1 station, 1 station: urban","1 station, 1 station: urban","Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012"
Eastern Mediterranean Region,Emr LMI,Afghanistan,Mazar-E Sharif,2,334,2009,,,,68,2009,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","1 station, 1 station: urban outskirts","1 station, 1 station: urban outskirts","Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012"
European Region,Eur LMI,Albania,Tirana,3,32,2013,,,,16,2013,,,,,,,"1 station, traffic, urban","1 station, traffic, urban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Andorra,Escaldes-Engordany,4,18,2014,,,,11,2014,,,,,,,"1 station, urban","1 station, urban",Qualitat de l'aire a Andorra
Region of the Americas,Amr HI,Argentina,Buenos Aires,5,26,2015,,,,14,2015,,,,,,,"3 stations, residencial commercial",-,"Agencia de Proteccion Ambiental, Buenos Aires"
Western Pacific Region,Wpr HI,Australia,Adelaide,6,17,2014,,,,7,2014,,,,,,,"7 stations, Residential (outer urban) and residential/light industry","2 stations, Residential (outer urban)",Environment Protection Authority
Western Pacific Region,Wpr HI,Australia,Albany,7,16,2014,,,,7,2014,,,,,,,"1 station, rural (small town)",-,http://www.der.wa.gov.au/your-environment/air
Western Pacific Region,Wpr HI,Australia,Albury,8,16,2014,,,,7,2014,,,,,,,"1 station, Rural (small town)",-,http://www.environment.nsw.gov.au/AQMS/
Western Pacific Region,Wpr HI,Australia,Ayr,9,20,2014,,,,9,2014,,,,,,,"1 station, Rural (small town)",-,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
Western Pacific Region,Wpr HI,Australia,Bathurst,10,15,2014,,,,6,2014,,,,,,,"1 station, Rural (small town)",-,http://www.environment.nsw.gov.au/AQMS/
Western Pacific Region,Wpr HI,Australia,Brisbane,11,16,2014,,,,6,2014,,,,,,,"8 stations, Residential (inner urban)","4 stations, Residential (inner urban)",http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
Western Pacific Region,Wpr HI,Australia,Bunbury,12,16,2014,,,,8,2014,,,,,,,"1 station, rural (small town)","1 station, rural (small town)",http://www.der.wa.gov.au/your-environment/air
Western Pacific Region,Wpr HI,Australia,Busselton,13,17,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, rural (small town)",http://www.der.wa.gov.au/your-environment/air
Western Pacific Region,Wpr HI,Australia,Canberra,14,16,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, Monash district playing fields",http://www.environment.act.gov.au/__data/assets/pdf_file/0005/745646/2014-ACT-Air-Quality-Report-v1-0.pdf
Western Pacific Region,Wpr HI,Australia,Central Coast,15,13,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, race course",http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
Western Pacific Region,Wpr HI,Australia,Collie,16,19,2014,,,,8,2014,,,,,,,"1 station, rural (small town)",-,http://www.der.wa.gov.au/your-environment/air
Western Pacific Region,Wpr HI,Australia,Darwin,17,19,2014,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2014,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, residential",http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf
