Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.91353646,,,,,12.18640104,,,,,11.47662308,,,,,14.36526427,,,,,10.0049664,9.838709709,,9.514477357,,
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.48722126,,,,,19.75174244,,,,,19.75767784,,,,,20.52368801,,,,,21.35821523,21.42929007,,21.69849243,,
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.94478176,,,,,11.92909593,,,,,12.1959189,,,,,12.52008871,,,,,13.35408565,13.55728835,,14.02398221,,
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.20070184,,,,,21.26973553,,,,,19.28857149,,,,,17.96302581,,,,,18.60557745,17.59240763,,15.94767589,,
Arab World,ARB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.20962717,,,,,29.46353953,,,,,29.72051323,,,,,29.95726466,,,,,30.38258326,30.51291567,,30.88826736,,
United Arab Emirates,ARE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.68293574,,,,,35.70411569,,,,,35.93441865,,,,,37.88966714,,,,,40.90851717,40.91114328,,40.94920128,,
Argentina,ARG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.641182844,,,,,9.068716903,,,,,9.070144502,,,,,9.350381223,,,,,9.521001263,9.314163078,,8.96038392,,
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.52225579,,,,,18.22632382,,,,,17.83663447,,,,,19.23763736,,,,,21.22748314,19.91108399,,17.75092824,,
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62727966,,,,,13.60345618,,,,,13.5711882,,,,,13.45216703,,,,,13.73239786,14.37368994,,15.76043317,,
Australia,AUS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.677154632,,,,,8.106196191,,,,,8.150404468,,,,,7.60266027,,,,,6.746306588,6.451738865,,5.929150741,,
Austria,AUT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7827913,,,,,20.38907191,,,,,16.68840757,,,,,16.43674224,,,,,15.37205063,15.02223566,,14.84837318,,
Azerbaijan,AZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.42409003,,,,,23.25788782,,,,,21.83608421,,,,,20.64664073,,,,,21.51138312,21.24049383,,20.79508892,,
Burundi,BDI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6927486,,,,,14.52250542,,,,,14.44808777,,,,,14.87128911,,,,,15.48377403,15.96755443,,17.09954416,,
Belgium,BEL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.61792015,,,,,24.48151482,,,,,21.15242079,,,,,20.54641116,,,,,19.06894252,18.8622955,,18.52928119,,
