Country Name,Country Code,Type,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Electricity production from coal sources (% of total),Forest area (% of land area),Pump price for gasoline (US$ per liter),"Gross enrolment ratio, tertiary, both sexes (%)",Average precipitation in depth (mm per year),"Life expectancy at birth, total (years)",Population
Aruba,ABW,Country,NA,NA,2.33,NA,37.76,NA,75.21,102921
Andorra,AND,Country,9.51,NA,34.04,1.67,NA,NA,NA,75902
Afghanistan,AFG,Country,21.70,NA,2.07,1.28,NA,327,59.68,30682500
Angola,AGO,Country,14.02,0.00,46.71,0.63,NA,1010,51.46,23448202
Albania,ALB,Country,15.95,0.00,28.26,1.81,55.50,1485,77.35,2897366
Arab World,ARB,Aggregate,30.89,1.22,2.86,0.58,25.98,NA,70.43,377096710
United Arab Emirates,ARE,Country,40.95,0.00,3.82,0.47,NA,78,77.02,9039978
Argentina,ARG,Country,8.96,2.73,10.23,1.46,80.31,591,75.82,42538304
Armenia,ARM,Country,17.75,0.00,11.64,1.25,46.04,562,74.45,2992192
American Samoa,ASM,Country,NA,NA,88.20,NA,NA,NA,NA,55302
Antigua and Barbuda,ATG,Country,15.76,NA,22.27,NA,23.49,1030,75.62,89985
Australia,AUS,Country,5.93,68.80,16.12,1.39,86.33,534,82.05,23117353
Austria,AUT,Country,14.85,9.08,46.81,1.81,72.44,1110,80.94,8479375
Azerbaijan,AZE,Country,20.80,0.00,12.83,0.76,20.44,447,70.62,9416801
Burundi,BDI,Country,17.10,NA,10.21,1.47,3.72,1274,55.79,10465959
Belgium,BEL,Country,18.53,6.68,22.53,2.09,70.83,847,80.39,11182817
Benin,BEN,Country,26.71,0.00,39.56,1.24,NA,1039,59.12,10322232
Burkina Faso,BFA,Country,29.23,NA,20.21,1.43,4.56,748,57.88,17084554
Bangladesh,BGD,Country,48.36,1.80,11.04,1.15,13.23,2666,70.86,157157394
Bulgaria,BGR,Country,15.93,49.11,34.74,1.69,62.70,608,74.31,7265115
Bahrain,BHR,Country,43.63,0.00,0.73,0.27,33.46,83,76.41,1349427
"Bahamas, The",BHS,Country,10.92,NA,51.45,NA,NA,1292,74.91,377841
Bosnia and Herzegovina,BIH,Country,13.63,69.50,42.68,1.59,NA,1028,76.12,3823533
Belarus,BLR,Country,13.60,0.00,42.25,0.88,91.45,618,71.97,9466000
Belize,BLZ,Country,5.71,NA,60.56,1.44,25.79,1705,69.91,344193
Bermuda,BMU,Country,NA,NA,20.00,NA,30.80,NA,81.68,65001
Bolivia,BOL,Country,10.89,0.00,51.35,0.7,NA,1146,67.45,10399931
Brazil,BRA,Country,16.50,2.56,59.40,1.39,NA,1761,73.84,204259377
Barbados,BRB,Country,16.11,NA,14.65,NA,NA,1422,75.17,282503
Brunei Darussalam,BRN,Country,9.47,0.00,72.11,0.43,24.34,2722,78.25,411499
Bhutan,BTN,Country,28.12,NA,71.49,1.19,9.43,2200,68.72,754637
Botswana,BWA,Country,9.70,100.00,19.67,1.23,NA,416,64.22,2176510
Central African Republic,CAF,Country,19.33,NA,35.66,1.71,2.84,1343,49.11,4710678
Canada,CAN,Country,12.14,10.04,38.18,1.32,NA,537,81.24,35155499
Central Europe and the Baltics,CEB,Aggregate,16.18,53.20,33.86,1.8,64.61,NA,76.02,103713726
Switzerland,CHE,Country,17.60,0.00,31.45,1.88,55.56,1537,82.70,8089346
Channel Islands,CHI,Country,NA,NA,4.21,NA,NA,NA,80.32,162138
Chile,CHL,Country,18.38,36.32,22.64,1.56,74.39,1522,80.89,17575833
China,CHN,Country,54.36,75.93,21.70,1.37,26.70,645,75.20,1357380000
Cote d'Ivoire,CIV,Country,20.30,0.00,32.71,1.51,4.46,1348,50.86,21622490
Cameroon,CMR,Country,21.34,0.00,41.20,1.1,NA,1604,54.59,22211166
"Congo, Rep.",COG,Country,13.81,0.00,65.53,1.15,10.36,1646,60.92,4394334
Colombia,COL,Country,12.63,5.47,52.80,1.28,45.02,3240,73.63,47342363
Comoros,COM,Country,6.91,NA,20.53,NA,9.86,900,62.58,751697
Cabo Verde,CPV,Country,43.07,NA,21.59,2.3,20.61,228,72.83,507258
Costa Rica,CRI,Country,9.31,0.00,52.20,1.57,46.74,2926,79.05,4706433
Caribbean small states,CSS,Aggregate,10.80,NA,85.21,NA,23.06,NA,71.74,6975754
Cuba,CUB,Country,10.97,0.00,28.55,1.4,62.45,1335,79.14,11362505
Curacao,CUW,Country,NA,NA,NA,NA,NA,NA,NA,153822
Cayman Islands,CYM,Country,NA,NA,52.92,NA,NA,NA,NA,58369
Cyprus,CYP,Country,16.46,0.00,18.70,1.77,45.86,498,79.76,1141652
Czech Republic,CZE,Country,16.55,54.23,34.46,1.93,64.17,677,78.08,10514272
Germany,DEU,Country,15.35,46.06,32.75,1.96,NA,700,80.89,82132753
Djibouti,DJI,Country,28.04,NA,0.24,1.75,NA,220,61.30,864554
