Country_Name,Country_Code,Type,Indicator Name,A1990,A1995,A2000,A2005,A2010,A2011,A2013
Aruba,ABW,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Andorra,AND,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.91,0,11.48,14.37,10.00,9.84,9.51
Afghanistan,AFG,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.49,0,19.76,20.52,21.36,21.43,21.70
Angola,AGO,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.94,0,12.20,12.52,13.35,13.56,14.02
Albania,ALB,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",24.20,0,19.29,17.96,18.61,17.59,15.95
Arab World,ARB,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",29.21,0,29.72,29.96,30.38,30.51,30.89
United Arab Emirates,ARE,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",35.68,0,35.93,37.89,40.91,40.91,40.95
Argentina,ARG,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8.64,0,9.07,9.35,9.52,9.31,8.96
Armenia,ARM,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.52,0,17.84,19.24,21.23,19.91,17.75
American Samoa,ASM,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.63,0,13.57,13.45,13.73,14.37,15.76
Australia,AUS,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.68,0,8.15,7.60,6.75,6.45,5.93
Austria,AUT,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.78,0,16.69,16.44,15.37,15.02,14.85
Azerbaijan,AZE,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",26.42,0,21.84,20.65,21.51,21.24,20.80
Burundi,BDI,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.69,0,14.45,14.87,15.48,15.97,17.10
Belgium,BEL,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",28.62,0,21.15,20.55,19.07,18.86,18.53
Benin,BEN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",26.23,0,25.85,25.79,23.53,24.41,26.71
Burkina Faso,BFA,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",29.26,0,29.17,30.29,28.42,28.67,29.23
Bangladesh,BGD,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",29.92,0,34.67,40.18,45.60,46.50,48.36
Bulgaria,BGR,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",28.25,0,19.77,19.11,17.24,16.77,15.93
Bahrain,BHR,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",39.54,0,39.62,42.95,47.86,46.38,43.63
"Bahamas, The",BHS,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",13.33,0,12.90,11.78,10.97,10.95,10.92
Bosnia and Herzegovina,BIH,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",21.59,0,16.02,15.78,14.47,14.12,13.63
Belarus,BLR,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.23,0,15.25,14.90,13.80,13.71,13.60
Belize,BLZ,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8.01,0,8.04,7.21,6.72,6.33,5.71
Bermuda,BMU,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Bolivia,BOL,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",5.32,0,5.52,7.89,8.89,9.43,10.89
Brazil,BRA,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.68,0,9.11,11.20,14.24,14.94,16.50
Barbados,BRB,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15.72,15.77,15.79,15.95,16.13,16.13,16.11
Brunei Darussalam,BRN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.91,7.18,6.66,9.01,9.22,9.13,9.47
Bhutan,BTN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.87,18.60,19.45,22.08,27.91,27.24,28.12
Botswana,BWA,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.99,7.80,7.83,7.74,8.39,8.79,9.70
Central African Republic,CAF,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.82,19.69,19.58,19.75,18.45,18.69,19.33
Canada,CAN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.48,10.77,10.70,11.75,11.87,11.93,12.14
Central Europe and the Baltics,CEB,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",30.14,23.50,19.06,18.59,17.28,16.86,16.18
Switzerland,CHE,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.92,19.51,16.86,18.27,15.91,16.31,17.60
Channel Islands,CHI,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Chile,CHL,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.23,19.00,19.46,19.54,18.85,18.69,18.38
China,CHN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",39.30,41.91,44.15,51.03,54.15,54.08,54.36
Cote d'Ivoire,CIV,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.50,19.37,19.21,20.32,18.54,18.89,20.30
Cameroon,CMR,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.78,22.70,22.46,23.33,20.97,21.03,21.34
"Congo, Rep.",COG,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",16.76,16.43,16.34,15.19,14.14,13.85,13.81
Colombia,COL,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.15,8.76,9.11,10.11,11.68,11.93,12.63
Comoros,COM,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",5.75,5.83,5.89,6.34,6.65,6.73,6.91
Cabo Verde,CPV,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",41.92,41.86,41.80,39.07,37.29,39.02,43.07
Costa Rica,CRI,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8.08,8.41,8.71,9.36,8.98,9.07,9.31
Caribbean small states,CSS,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.67,10.67,10.69,10.51,10.66,10.65,10.80
Cuba,CUB,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.49,9.37,9.33,9.21,8.41,8.50,10.97
Curacao,CUW,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Cayman Islands,CYM,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Cyprus,CYP,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.24,19.18,18.85,18.61,17.53,17.16,16.46
Czech Republic,CZE,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",32.83,24.48,18.60,18.37,16.63,16.56,16.55
Germany,DEU,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",29.75,22.75,17.91,17.42,15.99,15.72,15.35
Djibouti,DJI,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.46,20.43,20.60,21.23,24.15,25.37,28.04
Dominica,DMA,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.35,14.35,14.34,14.80,14.84,15.02,15.40
Denmark,DNK,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",18.30,14.93,12.48,11.43,10.62,10.67,11.41
Dominican Republic,DOM,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.62,11.89,11.98,11.50,11.11,11.47,12.49
Algeria,DZA,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.68,20.65,20.54,20.14,19.15,19.17,19.26
East Asia & Pacific (developing only),EAP,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",33.00,34.07,35.03,39.83,41.98,42.01,42.50
East Asia & Pacific (all income levels),EAS,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",31.72,32.55,33.31,37.61,39.48,39.51,39.94
Europe & Central Asia (developing only),ECA,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.16,20.93,18.58,18.60,18.70,18.42,18.00
Europe & Central Asia (all income levels),ECS,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",24.09,20.04,17.33,17.01,16.04,15.76,15.35
Ecuador,ECU,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8.01,8.01,8.38,9.63,10.96,11.81,13.91
"Egypt, Arab Rep.",EGY,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",35.92,36.96,37.58,37.09,34.99,35.41,36.41
Euro area,EMU,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.40,21.51,18.51,17.47,15.81,15.43,14.82
Eritrea,ERI,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.80,22.72,22.77,23.47,24.17,24.36,24.82
Spain,ESP,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.82,17.53,16.92,15.22,12.77,12.37,11.65
Estonia,EST,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.03,11.24,9.72,9.33,9.50,9.33,9.09
Ethiopia,ETH,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15.99,16.02,16.08,16.82,17.04,17.16,17.60
European Union,EUU,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",25.52,21.20,17.99,16.96,15.39,15.02,14.44
Fragile and conflict affected situations,FCS,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.75,19.72,19.97,20.97,21.90,22.22,23.08
Finland,FIN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.56,8.24,7.53,7.99,7.41,7.22,7.03
Fiji,FJI,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",7.50,7.47,7.45,7.43,7.50,7.49,7.49
France,FRA,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.76,20.15,17.84,16.72,15.04,14.67,14.02
Faroe Islands,FRO,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",FSM,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",1.16,1.15,1.14,3.44,4.27,4.30,4.36
Gabon,GAB,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.52,12.34,12.27,10.37,9.76,9.97,10.92
United Kingdom,GBR,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.74,17.00,14.55,12.68,11.39,11.16,10.81
Georgia,GEO,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",20.43,17.72,16.70,16.85,17.25,16.59,15.51
Ghana,GHA,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",22.53,22.54,22.49,23.77,23.02,23.96,26.54
Guinea,GIN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",26.62,26.32,26.08,25.57,24.16,25.01,27.02
"Gambia, The",GMB,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",35.14,35.00,34.93,34.49,33.52,33.93,34.80
Guinea-Bissau,GNB,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",33.12,33.08,33.05,31.18,29.51,29.73,30.20
Equatorial Guinea,GNQ,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",10.77,10.70,10.60,11.48,10.06,10.19,11.25
Greece,GRC,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",23.04,20.92,19.25,18.14,17.10,16.45,15.37
Grenada,GRD,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",14.26,14.25,14.25,13.85,14.26,15.07,16.87
Greenland,GRL,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Guatemala,GTM,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",11.35,12.27,12.87,13.49,12.41,12.33,12.40
Guam,GUM,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Guyana,GUY,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8.82,8.76,8.81,7.47,7.41,7.70,8.75
High income,HIC,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",21.22,18.74,17.01,16.70,15.75,15.53,15.21
"Hong Kong SAR, China",HKG,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
Honduras,HND,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",8.60,8.82,9.05,9.44,9.10,8.83,8.67
Heavily indebted poor countries (HIPC),HPC,Aggregate,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",17.97,17.97,17.97,18.51,18.23,18.60,19.57
Croatia,HRV,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",24.89,20.62,17.75,16.92,15.06,14.64,13.93
Haiti,HTI,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12.03,12.29,12.40,12.85,12.69,12.88,13.35
Hungary,HUN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",34.09,26.10,20.79,19.79,17.89,17.10,15.76
Indonesia,IDN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",21.02,15.87,12.11,11.95,12.15,12.86,14.77
Isle of Man,IMN,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0,0,0,0,0,0,0
India,IND,Country,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",30.25,31.78,33.66,38.71,43.40,44.44,46.68
