seq,date,time,aqi,concentration
1,01/01/2015,12:00 AM,68,20
2,01/01/2015,01:00 AM,72,22
3,01/01/2015,02:00 AM,38,9
4,01/01/2015,03:00 AM,38,9
5,01/01/2015,04:00 AM,53,13
6,01/01/2015,05:00 AM,42,10
7,01/01/2015,06:00 AM,25,6
8,01/01/2015,07:00 AM,33,8
9,01/01/2015,08:00 AM,61,17
10,01/01/2015,09:00 AM,46,11
11,01/01/2015,10:00 AM,95,33
12,01/01/2015,11:00 AM,105,37
13,01/01/2015,12:00 PM,112,40
14,01/01/2015,01:00 PM,155,63
15,01/01/2015,02:00 PM,154,62
16,01/01/2015,03:00 PM,122,44
17,01/01/2015,04:00 PM,132,48
18,01/01/2015,05:00 PM,139,51
19,01/01/2015,06:00 PM,165,82
20,01/01/2015,07:00 PM,167,87
21,01/01/2015,08:00 PM,177,106
22,01/01/2015,09:00 PM,186,123
23,01/01/2015,10:00 PM,193,136
24,01/01/2015,11:00 PM,194,139
25,01/02/2015,12:00 AM,204,154
26,01/02/2015,01:00 AM,187,126
27,01/02/2015,02:00 AM,173,98
28,01/02/2015,03:00 AM,156,66
29,01/02/2015,04:00 AM,124,45
30,01/02/2015,05:00 AM,84,28
31,01/02/2015,06:00 AM,50,12
32,01/02/2015,07:00 AM,50,12
33,01/02/2015,08:00 AM,59,16
34,01/02/2015,09:00 AM,53,13
35,01/02/2015,10:00 AM,76,24
36,01/02/2015,11:00 AM,97,34
37,01/02/2015,12:00 PM,53,13
38,01/02/2015,01:00 PM,66,19
39,01/02/2015,02:00 PM,80,26
40,01/02/2015,03:00 PM,80,26
41,01/02/2015,04:00 PM,115,41
42,01/02/2015,05:00 PM,166,85
43,01/02/2015,06:00 PM,178,108
44,01/02/2015,07:00 PM,167,87
45,01/02/2015,08:00 PM,175,102
46,01/02/2015,09:00 PM,183,117
47,01/02/2015,10:00 PM,187,125
48,01/02/2015,11:00 PM,197,145
49,01/03/2015,12:00 AM,207,157
50,01/03/2015,01:00 AM,213,163
51,01/03/2015,02:00 AM,226,176
52,01/03/2015,03:00 AM,243,193
53,01/03/2015,04:00 AM,248,198
54,01/03/2015,05:00 AM,264,214
55,01/03/2015,06:00 AM,272,222
56,01/03/2015,07:00 AM,259,209
57,01/03/2015,08:00 AM,251,201
58,01/03/2015,09:00 AM,229,179
59,01/03/2015,10:00 AM,219,169
60,01/03/2015,11:00 AM,198,147
61,01/03/2015,12:00 PM,208,158
