Year,Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Liberia,Libya,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Rwanda,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,"Yemen, Rep.",Zambia,Zimbabwe
1995,1243.10,2086.50,95345.70,407.00,10975.30,322.70,127963.60,3410.30,1609.80,281860.30,59783.10,33333.00,1683.20,14818.30,22816.10,828.70,60773.20,112327.50,377.70,1327.50,447.40,249.40,9460.90,3428.60,3047.30,258347.50,84.30,4789.10,58004.60,627.10,322.70,121.00,1551.10,4363.70,467703.80,366.70,234.70,102.70,41745.10,3320285.20,59614.40,66.00,2123.20,1565.80,4866.10,7132.30,17051.60,25709.30,5383.20,123830.90,57172.20,304.40,80.70,15885.40,22841.70,95723.40,5027.50,132.00,935.10,17520.90,2563.20,682.10,869.10,52713.10,349116.70,429.00,4624.10,216.40,2302.90,864110.20,5276.80,275.00,78781.80,502.40,150.30,7165.30,1250.40,183.40,1463.10,902.10,3879.70,31470.20,60369.80,1947.20,811562.10,224941.10,273338.20,77901.70,32970.00,51099.60,430483.80,9178.50,1183447.20,13556.90,169540.10,7554.00,22.00,374771.10,54821.70,4528.70,348.40,9442.50,13578.90,330.00,46020.90,16204.50,8316.80,1243.10,10839.70,1265.10,729.70,121132.00,249.40,469.40,2126.90,66.00,1092.80,1829.80,328291.80,11191.70,7920.70,30373.80,1114.80,6960.00,1631.80,106.30,2035.20,168304.30,2075.50,27132.10,2779.60,810.40,33267.00,33439.40,15896.40,84484.00,106.30,2984.90,2060.90,3964.00,23883.20,60710.90,344214.00,51869.70,31789.20,127101.90,1631474.00,462.00,132.00,47.70,236253.80,3494.70,198.00,399.70,47109.90,42115.50,14404.00,143.00,360363.40,241611.30,5903.90,161.30,311.70,128.30,4297.70,2181.90,454.70,55155.30,39225.90,41664.50,2449.60,3553.30,161153.60,953.40,95.30,20967.90,15735.10,171975.00,34000.40,11.00,938.80,445943.90,70641.10,538117.60,5138009.70,4591.10,100079.80,66.00,133350.50,29090.30,11250.40,2170.90,15130.00
1996,1177.10,2016.90,97131.50,425.40,10458.30,322.70,135000.60,2563.20,1617.10,302164.50,63178.70,31257.50,1668.50,15621.40,24029.90,850.70,60164.50,118059.10,308.00,1265.10,454.70,300.70,10014.60,4257.40,2757.60,284782.90,95.30,4869.80,56559.80,707.70,319.00,143.00,1617.10,4602.10,479419.90,388.70,234.70,106.30,48499.70,3463089.10,60527.50,66.00,2317.50,1716.20,4748.80,8379.10,17007.50,26996.50,5936.90,125378.40,72181.20,311.70,73.30,17326.60,24191.20,102030.60,4569.10,117.30,1012.10,18349.70,2860.30,601.40,894.70,61282.90,375280.80,432.70,4774.40,216.40,4066.70,889614.20,5610.50,282.40,80241.30,517.00,154.00,6651.90,1272.40,183.40,1518.10,1034.10,3960.40,29123.30,62060.30,2211.20,882324.20,253290.70,276510.10,69500.70,34906.20,53098.20,425830.40,9702.90,1204690.20,14187.60,142628.00,9328.80,36.70,403780.70,50153.60,5694.90,476.70,9149.20,13758.60,341.00,44158.00,15731.40,8437.80,1415.50,11741.70,1364.10,711.40,125374.70,289.70,487.70,2247.90,66.00,1114.80,1950.80,341482.00,11521.70,8041.70,31195.20,1041.40,7257.00,1749.20,102.70,2486.20,175150.60,2196.50,28642.90,2874.90,902.10,38936.20,33366.00,15104.40,94447.30,110.00,4624.10,2189.20,3751.30,24363.50,62163.00,355754.00,50586.30,32298.90,126691.20,1612966.60,480.40,132.00,47.70,258750.90,3740.30,234.70,473.00,55305.70,41312.40,14954.00,143.00,365431.20,233305.50,7062.60,165.00,330.00,132.00,4433.40,2203.90,341.00,55910.70,39886.00,42804.90,2827.30,3461.60,180255.10,1059.80,77.00,21782.00,16758.20,188205.10,30670.80,11.00,1059.80,412335.80,41059.40,551436.10,5260696.50,5441.80,102584.30,84.30,122804.20,34667.80,13399.20,1870.20,14994.40
1997,1096.40,1543.80,88195.00,458.40,7381.70,337.40,138003.90,3234.30,1650.20,305794.80,62658.00,29809.00,1364.10,17319.20,25063.90,902.10,59555.70,115341.80,388.70,1217.40,451.00,392.40,11026.70,8393.80,2801.60,300547.30,99.00,5060.50,51616.70,806.70,304.40,146.70,1540.10,3216.00,495294.40,407.00,245.70,113.70,56394.80,3469510.00,64909.60,66.00,1899.50,2343.20,4987.10,8173.70,18962.10,24649.60,5859.90,127413.60,61557.90,326.40,80.70,18001.30,18360.70,108202.20,5474.80,293.40,865.40,18107.60,3050.90,590.40,737.10,59933.40,351507.60,451.00,4796.40,216.40,4437.10,862276.70,6365.90,293.40,83717.60,520.70,168.70,7598.00,1279.80,201.70,1591.50,1367.80,4158.40,30703.80,60890.50,2104.90,917685.10,278659.00,269770.20,68308.90,36417.00,55881.40,430487.50,10131.90,1200788.50,14418.60,129459.80,8265.40,29.30,430032.80,54920.70,5610.50,608.70,8456.10,15647.10,352.00,44975.80,15339.10,7939.10,1499.80,10634.30,1650.20,759.10,124821.00,330.00,524.40,2522.90,66.00,1118.40,1998.50,359047.00,7099.30,7708.00,31862.60,1125.80,7499.00,1796.80,102.70,2783.30,167860.60,1829.80,31022.80,3142.60,909.40,40175.70,36101.60,15485.70,94711.30,110.00,5647.20,2577.90,4195.00,27407.20,71158.10,349523.80,53072.50,37495.10,114447.10,1526011.00,498.70,132.00,47.70,216239.30,3263.60,341.00,443.70,69240.30,41048.40,15859.80,143.00,377855.00,252073.20,7616.40,172.30,311.70,132.00,5419.80,2214.90,1202.80,52148.40,41466.40,40960.40,2152.50,2882.30,185916.90,986.40,99.00,19229.70,16945.20,198535.00,30623.10,11.00,1107.40,341196.00,41646.10,527343.90,5375235.30,5555.50,102646.70,84.30,133988.50,45100.40,13358.90,2390.90,14407.60
1998,1041.40,1752.80,107080.10,484.00,7308.30,333.70,139815.40,3362.60,1712.50,316883.80,63662.80,31675.50,1679.50,18404.70,24048.20,1140.40,58099.90,118374.40,370.40,1213.80,443.70,381.40,11455.70,10594.00,3344.30,312289.10,102.70,5269.50,48998.50,861.70,293.40,157.70,1950.80,3208.60,506456.70,432.70,249.40,113.70,57641.60,3324344.50,65976.70,69.70,1668.50,777.40,5317.20,6912.30,20216.20,24499.20,6406.20,122543.80,59552.10,315.40,77.00,18397.30,22460.40,122243.10,5812.20,168.70,590.40,16310.80,3219.60,623.40,704.10,56988.80,377382.00,447.40,4979.80,234.70,4961.50,855364.40,6402.60,308.00,87751.30,528.00,176.00,8753.10,1243.10,172.30,1657.50,1232.10,4649.80,39101.20,59163.40,2101.20,936221.80,210210.80,308988.80,72371.90,38554.80,57095.20,440153.70,9717.60,1157829.60,14543.30,127321.90,10036.60,33.00,364833.50,51745.00,5955.20,685.70,8063.70,16648.20,377.70,45474.50,16197.10,7356.00,1565.80,12625.50,1738.20,773.70,114186.70,300.70,762.70,2145.20,69.70,1122.10,2170.90,374063.30,6270.60,7708.00,32038.60,1133.10,8078.40,1906.80,99.00,2251.50,168821.30,1811.50,30029.10,3421.30,957.10,40164.70,37777.40,16560.20,97663.20,110.00,5947.90,2863.90,4503.10,27806.90,69240.30,325431.60,57817.60,32401.60,102232.30,1495505.30,487.70,132.00,47.70,207680.50,3428.60,432.70,414.40,57293.20,40480.00,15192.40,143.00,377726.70,261541.40,7825.40,183.40,308.00,161.30,4697.40,2229.50,1213.80,52977.10,41704.80,50274.60,2497.20,2555.90,164347.60,1166.10,88.00,19317.80,18001.30,200614.20,32093.60,14.70,1265.10,328636.50,81495.40,531905.70,5410918.90,5687.50,118477.10,80.70,167339.90,47513.30,12200.10,2313.90,14253.60
1999,821.40,2984.90,92118.70,513.40,9156.50,348.40,146984.40,3014.30,1749.20,325343.60,61869.60,28576.90,1675.80,18019.60,25236.30,1210.10,56112.40,114260.10,348.40,1562.10,469.40,385.00,11243.00,10377.60,3161.00,320173.10,102.70,3909.00,43982.00,931.40,286.00,172.30,1895.80,3080.30,515462.90,432.70,264.00,121.00,61502.90,3318055.60,56512.10,77.00,1382.50,821.40,5522.50,6266.90,20120.80,25331.60,6376.90,111975.50,55148.00,315.40,80.70,18562.40,21496.00,125393.10,5698.50,473.00,619.70,15159.40,3157.30,630.70,803.10,55423.00,368804.90,495.00,4807.40,256.70,4345.40,822460.40,6549.30,319.00,86636.50,539.00,194.40,8929.10,1272.40,194.40,1679.50,1331.10,4741.40,42716.90,58796.70,2068.20,995766.50,241989.00,382512.10,72283.90,40153.70,55694.40,441998.20,9977.90,1196516.40,14569.00,116493.30,10172.30,29.30,399864.30,54022.20,4671.80,927.80,6780.30,16490.50,396.00,44620.10,13692.60,7686.00,1532.80,11723.40,1917.80,960.80,107934.50,421.70,795.70,2346.90,66.00,1147.80,2427.60,382607.40,4503.10,7554.00,33153.30,1188.10,8969.50,1664.80,91.70,3219.60,163907.60,2057.20,32640.00,3626.70,953.40,44774.10,40681.70,20707.50,100384.10,113.70,5669.20,2445.90,4503.10,29358.00,69159.60,315721.40,64425.50,31407.90,89639.80,1531130.20,509.70,139.30,47.70,226459.30,3700.00,509.70,366.70,50069.20,39240.60,15276.70,146.70,375236.80,282355.30,8617.50,183.40,319.00,165.00,5093.50,2225.90,1239.40,51107.00,40692.70,52372.10,2519.20,2537.60,176126.00,1536.50,110.00,22816.10,18331.30,196771.20,37678.40,14.70,1312.80,332549.20,78374.80,530937.60,5510430.20,6725.30,118319.40,84.30,173122.70,47693.00,13894.30,1807.80,15834.10
2000,773.70,3021.60,87931.00,524.40,9541.50,344.70,142136.60,3465.30,2321.20,329443.30,62133.60,29508.30,1668.50,18643.00,27869.20,1188.10,53787.60,115118.10,414.40,1598.80,465.70,396.00,10223.60,13787.90,3780.70,327983.80,102.70,4712.10,43531.00,1041.40,289.70,187.00,1976.50,3432.30,534483.60,469.40,267.70,176.00,58815.00,3405179.90,57923.90,84.30,814.10,1048.80,5474.80,6791.30,19438.80,26083.40,6930.60,123849.30,51330.70,341.00,102.70,19790.80,20718.60,141326.20,5742.50,454.70,608.70,14858.70,3549.70,689.40,865.40,52427.10,362090.60,568.40,4693.80,275.00,4536.10,829977.80,6288.90,333.70,91616.30,531.70,190.70,9915.60,1279.80,146.70,1609.80,1367.80,5031.10,40439.70,55811.70,2163.50,1031853.50,263418.90,372479.20,72445.30,41228.10,60259.80,450564.30,10307.90,1220527.90,15507.70,118099.40,10417.90,33.00,447561.00,53560.20,4635.10,938.80,6351.20,15247.40,425.40,47113.60,12163.40,8239.70,1635.50,12064.40,1873.80,894.70,125734.10,451.00,821.40,2064.50,77.00,1173.40,2691.60,382508.40,3513.00,7506.30,33905.10,1349.50,10087.90,1642.80,84.30,3069.30,165356.00,2233.20,32981.00,3762.30,696.70,79170.50,39673.30,21895.70,106449.30,113.70,5790.20,2665.90,3689.00,30296.80,73307.00,299289.50,62731.40,34730.20,90681.20,1557899.30,528.00,139.30,47.70,296935.30,3938.40,572.10,425.40,49005.80,35885.30,14396.60,146.70,378665.40,294434.40,10238.30,183.40,330.00,146.70,5533.50,2299.20,1188.10,49350.50,39049.90,51041.00,2236.90,2651.20,181270.80,1360.50,95.30,23894.20,19922.80,216151.30,37539.10,14.70,1430.10,320902.80,112562.20,541784.60,5701829.30,5306.10,121058.70,84.30,152422.50,53644.50,14638.70,1822.50,13923.60
2001,638.10,3223.30,84293.30,524.40,9732.20,344.70,133720.80,3542.30,2357.90,324844.90,65727.30,28771.30,1569.50,13927.30,32456.60,1221.10,52760.80,114527.70,410.70,1815.20,465.70,385.00,9823.90,13362.50,3850.40,337433.70,106.30,4506.70,46453.60,997.40,205.40,209.00,2251.50,3421.30,527927.00,473.00,245.70,172.30,53340.20,3487566.40,56273.80,84.30,836.10,766.40,5760.90,7726.40,20527.90,25452.60,6846.30,123720.90,52918.50,366.70,110.00,19816.50,23116.80,125451.70,5947.90,3094.90,630.70,15570.10,4352.70,762.70,1114.80,57051.20,377389.30,678.40,4800.10,282.40,3769.70,853662.90,6919.60,344.70,93805.50,539.00,194.40,10627.00,1298.10,150.30,1595.10,1569.50,5713.20,37957.10,56955.80,2101.20,1041153.00,294907.50,398657.90,85342.10,44029.70,63596.80,450347.90,10616.00,1203377.40,16002.80,131850.70,9369.20,25.70,450193.90,57641.60,3894.40,872.70,6985.60,16171.50,495.00,48100.00,12885.80,8800.80,1686.80,11998.40,1741.80,891.10,135620.30,462.00,828.70,2486.20,80.70,1272.40,2863.90,395636.30,3714.70,7884.10,37715.10,1580.50,8723.80,2016.90,80.70,3267.30,168065.90,1888.50,34447.80,3964.00,656.40,83339.90,41910.10,20285.80,108282.80,179.70,7007.60,3208.60,3821.00,27165.10,71051.80,301284.40,62757.00,41396.80,96632.80,1557506.90,531.70,143.00,51.30,297214.00,4330.70,634.40,568.40,49541.20,39357.90,15163.00,154.00,372042.80,297830.10,10443.60,183.40,363.00,179.70,6369.60,2471.60,1144.10,51125.30,42944.20,48778.40,2291.90,3128.00,194600.40,1162.40,88.00,25144.60,20817.60,194552.70,38074.50,14.70,1510.80,321775.60,101414.60,545862.30,5601404.80,5089.80,123200.20,88.00,172587.40,61139.90,16252.10,1906.80,12596.10
2002,883.70,3751.30,90853.60,531.70,12665.80,363.00,124714.70,3043.60,2372.50,341353.70,66911.70,29614.70,1576.80,15698.40,33707.10,1228.40,52405.10,107311.10,366.70,2079.20,495.00,418.00,9567.20,14301.30,3978.70,332266.90,113.70,4378.40,44634.70,1004.80,212.70,242.00,2207.50,3417.60,519335.20,491.40,245.70,168.70,55162.70,3694242.10,55661.40,88.00,927.80,575.70,6325.60,7286.30,21598.60,26090.70,7022.30,119749.60,52049.40,399.70,102.70,21330.90,24950.30,127193.60,6039.50,4979.80,605.10,14888.00,4521.40,733.40,836.10,61682.60,374917.70,707.70,4572.70,315.40,3388.30,829724.80,7422.00,348.40,93669.80,539.00,205.40,11096.30,1323.80,154.00,1580.50,1826.20,6090.90,39636.60,56094.10,2170.90,1054258.80,306737.20,401991.20,87259.90,43413.60,59812.40,452610.50,10241.90,1220047.60,16886.50,133735.50,7968.40,40.30,465632.00,58228.30,4957.80,1151.40,6912.30,16002.80,491.40,47832.30,13142.50,9416.90,1525.50,10935.00,1235.80,883.70,133742.80,594.10,847.10,2299.20,84.30,1349.50,2885.90,391859.30,3986.00,8287.40,38254.10,1587.80,9207.80,1760.20,77.00,2625.60,172026.30,2405.60,33201.00,4037.40,700.40,98114.30,38023.10,25471.00,114084.00,179.70,5870.90,3487.30,3898.00,27187.10,71337.80,294834.10,66790.70,40905.40,97237.80,1557085.20,531.70,143.00,58.70,326407.00,4510.40,539.00,608.70,47231.00,39251.60,15419.70,154.00,356637.80,314518.60,11056.00,198.00,326.40,187.00,8118.70,1690.50,1125.80,57425.20,40696.40,39064.60,1881.20,3590.00,208322.30,1232.10,102.70,27223.80,20861.60,205685.70,39966.60,99.00,1558.50,318688.00,84704.00,528642.10,5648727.50,4620.40,128077.30,84.30,193316.90,70806.10,15764.40,1983.80,11965.40
2003,1026.80,4294.10,92533.10,535.40,9064.80,388.70,135062.90,3428.60,2416.60,336271.20,72023.50,30615.80,1518.10,16468.50,35672.60,1268.80,53530.90,112914.30,385.00,2354.20,469.40,377.70,14129.00,14488.30,3828.30,321621.60,121.00,4591.10,47308.00,1078.10,161.30,308.00,2379.90,3795.30,553185.30,498.70,234.70,381.40,55602.70,4525177.00,57421.60,95.30,986.40,916.80,6626.30,5460.20,23091.10,25485.70,7748.40,122059.80,55998.80,421.70,117.30,21514.30,26967.10,147963.50,6552.90,6017.50,726.10,17124.90,4987.10,748.10,861.70,69130.30,380520.90,770.10,4642.40,315.40,3773.30,822812.50,7631.00,355.70,95738.00,531.70,216.40,10828.70,1342.10,194.40,1565.80,1734.50,6769.30,43358.60,59064.40,2167.20,1099597.60,316792.10,418639.40,91117.60,42687.50,62889.10,468349.20,10667.30,1242093.60,17469.60,142209.90,6754.60,40.30,466215.00,59922.40,5438.20,1100.10,7370.70,18181.00,524.40,49167.10,12823.50,9904.60,1536.50,11309.00,1701.50,957.10,158256.70,506.00,843.40,2581.60,84.30,1389.80,3061.90,405918.60,4290.40,8034.40,37561.10,1917.80,9845.90,1873.80,66.00,2841.90,174805.90,2739.20,34081.10,4411.40,759.10,93130.80,45221.40,32390.60,118895.10,187.00,6153.20,3945.70,4070.40,26380.40,71532.20,302252.50,61216.90,41521.40,101062.50,1604242.80,520.70,150.30,66.00,327272.40,4976.10,550.10,652.70,31132.80,39493.60,15511.40,161.30,404459.10,321097.20,11078.00,220.00,359.40,198.00,9072.20,1690.50,1041.40,54781.30,40175.70,54275.30,2075.50,3806.30,224574.40,1463.10,117.30,27902.20,21246.60,218523.90,44601.70,102.70,1598.80,352431.70,106841.70,540006.10,5679222.20,4598.40,123577.90,84.30,192103.10,78767.20,17304.60,2112.20,10656.30
2004,949.80,4165.70,89493.10,564.70,18793.40,407.00,157589.30,3645.00,2420.20,342699.50,72210.60,32089.90,1723.50,17509.90,37704.10,1294.50,58158.60,111102.80,396.00,2508.20,454.70,308.00,13083.90,15610.40,3898.00,337826.00,124.70,4998.10,46801.90,1103.80,198.00,330.00,2445.90,3956.70,552349.20,462.00,234.70,377.70,59775.80,5288166.00,55071.00,99.00,1199.10,949.80,6930.60,7664.00,22493.40,25005.30,7334.00,116775.60,50600.90,407.00,113.70,18309.30,29046.30,150911.70,6365.90,5218.10,770.10,17282.60,5295.10,766.40,1133.10,67091.40,383579.20,762.70,4686.40,322.70,4323.40,816802.20,7348.70,385.00,97149.80,583.10,205.40,11620.70,1342.10,201.70,1628.10,1987.50,7367.00,41708.50,57458.20,2244.20,1154320.30,337635.40,447245.70,114084.00,43762.00,59020.40,473970.80,10671.00,1266009.70,19240.70,173053.10,7623.70,44.00,482276.50,63534.40,5874.50,1393.50,7403.70,16798.50,616.10,50358.90,13245.20,11268.70,1727.20,11191.70,1807.80,975.40,163826.90,667.40,876.40,2574.20,88.00,1536.50,3091.30,411767.40,4554.40,8551.40,43310.90,1921.50,12434.80,1961.80,66.00,2669.60,176690.70,2530.20,34554.10,4426.10,814.10,97039.80,42647.20,27986.50,131601.30,187.00,5804.90,4488.40,4088.70,31895.60,74066.10,304416.00,63145.70,42944.20,96904.10,1602116.00,528.00,161.30,73.30,395834.30,5232.80,737.10,641.70,28474.30,38749.20,15746.10,161.30,450186.60,339428.50,12299.10,227.40,355.70,220.00,11463.00,1668.50,1030.40,54521.00,40366.30,51103.30,2563.20,4363.70,243188.10,1397.10,110.00,30813.80,22299.00,225421.50,46541.60,102.70,1738.20,343396.20,113240.60,539239.70,5763456.90,5610.50,120325.30,58.70,151733.10,90549.20,18881.40,2145.20,9486.50
