city,latitude,longitude
"Kabul, Afghanistan",34.555349,69.207486
"Mazar-E Sharif, Afghanistan",36.692617,67.117951
"Tirana, Albania",41.327546,19.818698
"Escaldes-Engordany, Andorra",42.51008,1.538786
"Buenos Aires, Argentina",-34.603684,-58.381559
"Adelaide, Australia",-34.928621,138.599959
"Albany, Australia",-35.023823,117.884729
"Albury, Australia",-36.080778,146.916469
"Ayr, Australia",-19.575841,147.405023
"Bathurst, Australia",-33.417653,149.581031
"Brisbane, Australia",-27.471011,153.023449
"Bunbury, Australia",-33.327069,115.639174
"Busselton, Australia",-33.649945,115.344611
"Canberra, Australia",-35.282,149.128684
"Central Coast, Australia",-33.300134,151.191101
"Collie, Australia",-33.358871,116.154041
"Darwin, Australia",-12.462827,130.841777
"Devonport, Australia",-41.178353,146.360953
"Geelong, Australia",-38.148544,144.361348
"Geraldton, Australia",-28.773219,114.609633
"Gladstone, Australia",-40.96022,148.010022
"Hobart, Australia",-42.881903,147.323815
"La Trobe Valley, Australia",-38.15,146.8
"Launceston, Tasmania, Australia",-41.426181,147.112468
"Lower Hunter, Australia",-32.260669,150.884448
"Mackay, Australia",-21.14121,149.185625
"Melbourne, Australia",-37.814107,144.96328
"Moranbah, Australia",-22.000914,148.045765
"Mount Isa, Australia",-20.724705,139.497462
"Muswellbrook, Australia",-32.265166,150.888323
"Newcastle, Australia",-32.926696,151.778892
"Palmerston, Australia",-12.479277,130.984961
"Perth, Australia",-31.953513,115.857047
"Singleton, Australia",-32.561969,151.175316
"Sydney, Australia",-33.867487,151.20699
"Tamworth, Australia",-31.091085,150.930374
"Townsville, Australia",-19.257622,146.817879
"Upper Hunter, Australia",-32.508215,137.781115
"Wagga Wagga, Australia",-35.125095,147.349649
"Whyalla, Australia",-33.034399,137.584915
"Wollongong, Australia",-34.425073,150.893149
"Wyong, Australia",-33.283629,151.423008
"Arnoldstein, Austria",46.54999,13.705762
"Bad Ischl, Austria",47.71238,13.620946
"Bad V_slau, Austria",,
"Biedermannsdorf, Austria",48.083241,16.345977
"Bludenz, Austria",47.15991,9.80821
"Bruck An Der Mur, Austria",47.40993,15.26861
"Deutschlandsberg, Austria",46.81595,15.21338
"Dornbirn, Austria",47.4124,9.74379
"Ebenthal, Austria",48.436311,16.786103
"Eisenstadt, Austria",47.84637,16.52796
"Feldkirch, Austria",47.24128,9.6019
"F�rstenfeld, Austria",47.04795,16.08013
"G_nserndorf, Austria",48.34067,16.71754
"Graz, Austria",47.070714,15.439504
"Grossenzersdorf, Austria",48.196914,16.55339
