seq,concentration,date,
0,835,1-1-2015,
1,716,1-1-2015,
2,678,1-1-2015,
3,631,1-1-2015,
4,557,1-1-2015,
5,599,1-1-2015,
6,438,1-1-2015,
7,495,1-1-2015,
8,585,1-1-2015,
9,394,1-1-2015,
10,308,1-1-2015,
11,258,1-1-2015,
12,205,1-1-2015,
13,138,1-1-2015,
14,195,1-1-2015,
15,283,1-1-2015,
16,217,1-1-2015,
17,263,1-1-2015,
18,439,1-1-2015,
19,638,1-1-2015,
20,689,1-1-2015,
21,731,1-1-2015,
22,594,1-1-2015,
23,502,2-1-2015,
24,488,2-1-2015,
25,424,2-1-2015,
26,396,2-1-2015,
27,381,2-1-2015,
28,357,2-1-2015,
29,259,2-1-2015,
30,126,2-1-2015,
31,52,2-1-2015,
32,57,2-1-2015,
33,38,2-1-2015,
34,51,2-1-2015,
35,47,2-1-2015,
36,30,2-1-2015,
37,46,2-1-2015,
38,30,2-1-2015,
39,72,2-1-2015,
40,97,2-1-2015,
41,98,2-1-2015,
42,73,2-1-2015,
43,79,2-1-2015,
44,58,2-1-2015,
45,85,2-1-2015,
46,62,2-1-2015,
47,74,3-1-2015,
483-1-2015,
49,80,3-1-2015,
50,75,3-1-2015,
51,64,3-1-2015,
52,62,3-1-2015,
53,92,3-1-2015,
54,82,3-1-2015,
55,76,3-1-2015,
56,110,3-1-2015,
57,99,3-1-2015,
59,60,3-1-2015,
60,74,3-1-2015,
61,85,3-1-2015,
62,146,3-1-2015,
63,145,3-1-2015,
64,152,3-1-2015,
65,154,3-1-2015,
66,121,3-1-2015,
67,148,3-1-2015,
68,150,3-1-2015,
69,144,3-1-2015,
70,166,3-1-2015,
71,185,4-1-2015,
72,177,4-1-2015,
73,181,4-1-2015,
74,183,4-1-2015,
75,148,4-1-2015,
76,97,4-1-2015,
77,83,4-1-2015,
78,94,4-1-2015,
79,115,4-1-2015,
80,88,4-1-2015,
81,107,4-1-2015,
82,141,4-1-2015,
83,144,4-1-2015,
84,97,4-1-2015,
85,94,4-1-2015,
86,114,4-1-2015,
87,105,4-1-2015,
88,111,4-1-2015,
89,182,4-1-2015,
90,182,4-1-2015,
91,225,4-1-2015,
92,179,4-1-2015,
93,163,4-1-2015,
94,148,4-1-2015,
95,149,5-1-2015,
96,151,5-1-2015,
97,129,5-1-2015,
98,125,5-1-2015,
