code,surface,agri,land,forest
AFG,652860.0,58.07,652860.0,2.07
AGO,1246700.0,47.48,1246700.0,46.61
ALB,28750.0,43.33,27400.0,28.23
ARE,83600.0,4.57,83600.0,3.83
ARG,2780400.0,54.52,2736690.0,10.12
ARM,29740.0,59.08,28470.0,11.65
AUS,7741220.0,51.63,7682300.0,16.16
AUT,83879.0,38.22,82531.0,46.84
AZE,86600.0,57.7,82659.0,13.15
BDI,27830.0,79.17,25680.0,10.39
BEL,30530.0,44.14,30280.0,22.54
BEN,114760.0,33.26,112760.0,39.12
BFA,274220.0,44.96,273600.0,19.99
BGD,148460.0,69.97,130170.0,11.02
BGR,111000.0,46.01,108560.0,34.9
BHS,13880.0,1.4,10010.0,51.45
BIH,51210.0,42.15,51200.0,42.68
BLR,207600.0,43.0,202910.0,42.35
BLZ,22970.0,7.01,22810.0,60.34
BMU,50.0,6.0,50.0,20.0
BOL,1098580.0,34.77,1083300.0,51.09
BRA,8515770.0,33.36,8358140.0,59.28
BRN,5770.0,2.73,5270.0,72.11
BTN,38394.0,13.63,38117.0,71.75
BWA,581730.0,45.65,566730.0,19.49
CAF,622980.0,8.15,622980.0,35.64
CAN,9984670.0,7.18,9093510.0,38.18
CHE,41285.0,38.61,39516.0,31.54
CHL,756096.0,21.22,743532.0,23.04
CHN,9562911.0,54.81,9388211.0,21.86
CIV,322460.0,64.78,318000.0,32.71
CMR,475440.0,20.63,472710.0,40.74
COD,2344860.0,11.56,2267050.0,67.58
COG,342000.0,31.12,341500.0,65.49
COL,1141749.0,40.39,1109500.0,52.78
CRI,51100.0,35.59,51060.0,52.79
CUB,109880.0,59.58,106449.0,29.05
CYP,9250.0,11.8,9240.0,18.7
CZE,78870.0,54.63,77230.0,34.48
DEU,357170.0,47.91,348540.0,32.75
DJI,23200.0,73.43,23180.0,0.24
DNK,43090.0,61.49,42430.0,14.19
DOM,48670.0,48.68,48320.0,39.66
DZA,2381740.0,17.4,2381740.0,0.81
ECU,256370.0,30.25,248360.0,51.16
EGY,1001450.0,3.78,995450.0,0.07
ERI,117600.0,75.17,101000.0,15.04
ESP,505940.0,53.86,500210.0,36.68
EST,45230.0,22.79,42390.0,52.67
ETH,1104300.0,36.26,1000000.0,12.42
FIN,338420.0,7.43,303890.0,73.11
FJI,18270.0,23.26,18270.0,55.14
FRA,549087.0,52.55,547557.0,30.61
GAB,267670.0,20.03,257670.0,87.71
GBR,243610.0,71.3,241930.0,12.85
GEO,69700.0,36.72,69490.0,40.62
GHA,238540.0,69.0,227540.0,40.78
GIN,245860.0,59.01,245720.0,26.19
GMB,11300.0,59.78,10120.0,47.91
GNB,36130.0,57.97,28120.0,70.84
GNQ,28050.0,10.12,28050.0,56.73
GRC,131960.0,63.13,128900.0,30.98
GRL,410450.0,0.57,410450.0,0.01
GTM,108890.0,34.72,107160.0,33.71
GUY,214970.0,8.52,196850.0,84.05
HND,112490.0,28.91,111890.0,43.19
HRV,56590.0,23.26,55960.0,34.33
HTI,27750.0,66.76,27560.0,3.58
HUN,93030.0,58.99,90530.0,22.75
IDN,1910930.0,31.46,1811570.0,50.99
IND,3287260.0,60.64,2973190.0,23.65
IRL,70280.0,64.99,68890.0,10.78
IRN,1745150.0,28.34,1628550.0,6.57
IRQ,435240.0,21.25,434320.0,1.9
ISL,103000.0,18.68,100250.0,0.46
ISR,22070.0,24.04,21640.0,7.42
ITA,301340.0,46.34,294140.0,31.24
JAM,10990.0,41.0,10830.0,31.02
JOR,89320.0,11.9,88780.0,1.1
JPN,377962.0,12.45,364560.0,68.47
KAZ,2724902.0,80.38,2699700.0,1.23
KEN,580370.0,48.55,569140.0,7.63
KGZ,199949.0,55.19,191800.0,3.4
KHM,181040.0,32.86,176520.0,55.02
KOR,100266.0,18.15,97466.0,63.6
KWT,17820.0,8.62,17820.0,0.35
LAO,236800.0,10.12,230800.0,79.65
LBN,10450.0,64.32,10230.0,13.41
LBR,111370.0,28.03,96320.0,44.01
LBY,1759540.0,8.73,1759540.0,0.12
LKA,65610.0,43.69,62710.0,33.22
LSO,30360.0,74.18,30360.0,1.55
LTU,65300.0,46.13,62675.0,34.72
LUX,2590.0,50.53,2590.0,33.47
LVA,64490.0,30.04,62190.0,53.95
MAR,446550.0,68.12,446300.0,12.66
MDA,33850.0,74.85,32880.0,12.16
MDG,587295.0,71.18,581800.0,21.49
MEX,1964380.0,54.89,1943950.0,34.07
MKD,25710.0,49.96,25220.0,39.57
MLI,1240190.0,33.77,1220190.0,3.99
MLT,320.0,31.97,320.0,1.09
MMR,676590.0,19.27,653080.0,46.14
MNE,13810.0,16.59,13450.0,61.49
MNG,1564120.0,72.94,1553560.0,8.21
MOZ,799380.0,63.52,786380.0,48.77
MRT,1030700.0,38.53,1030700.0,0.22
MWI,118480.0,61.41,94280.0,33.76
MYS,330800.0,23.86,328550.0,67.47
NAM,824290.0,47.14,823290.0,8.58
NCL,18580.0,10.08,18280.0,45.9
NER,1267000.0,35.35,1266700.0,0.92
NGA,923770.0,77.74,910770.0,8.58
NIC,130370.0,42.09,120340.0,25.88
NLD,41500.0,54.87,33670.0,11.13
NOR,385178.0,2.7,365245.0,33.15
NPL,147180.0,28.75,143350.0,25.36
NZL,267710.0,42.18,263310.0,38.55
