Country name,Alpha-3,Year,Emissions excluding land use (Mt CO2),Emissions from land use (Mt CO2),RCP3PD,RCP4.5,RCP6,RCP8.5
Armenia,ARM,1850,0.0004,,,,,
Austria,AUT,1850,2.3266,,,,,
Azerbaijan,AZE,1850,0.0016,,,,,
Belarus,BLR,1850,0.0035,,,,,
Belgium,BEL,1850,9.3322,,,,,
Canada,CAN,1850,0.0586,,,,,
Denmark,DNK,1850,0.3408,,,,,
Estonia,EST,1850,0.0009,,,,,
France,FRA,1850,19.6171,,,,,
Georgia,GEO,1850,0.0008,,,,,
Germany,DEU,1850,15.1396,,,,,
Hungary,HUN,1850,0.0,,,,,
Ireland,IRL,1850,0.3957,,,,,
Kazakhstan,KAZ,1850,0.0082,,,,,
Kyrgyzstan,KGZ,1850,0.0005,,,,,
Latvia,LVA,1850,0.0005,,,,,
Lithuania,LTU,1850,0.0008,,,,,
Moldova,MDA,1850,0.0007,,,,,
Netherlands,NLD,1850,3.1364,,,,,
Norway,NOR,1850,0.1392,,,,,
Poland,POL,1850,3.2023,,,,,
Russian Federation,RUS,1850,0.0699,,,,,
Spain,ESP,1850,0.4946,,,,,
Sweden,SWE,1850,0.2015,,,,,
Tajikistan,TJK,1850,0.0003,,,,,
Turkmenistan,TKM,1850,0.0012,,,,,
Ukraine,UKR,1850,0.02,,,,,
United Kingdom,GBR,1850,122.6048,,,,,
United States of America,USA,1850,19.7929,,,,,
Uzbekistan,UZB,1850,0.0042,,,,,
World,WLD,1850,197.856,1835.5333333333335,,,,
Australia,AUS,1851,-0.0623,,,,,
Austria,AUT,1851,2.334,,,,,
Belgium,BEL,1851,10.1676,,,,,
Canada,CAN,1851,0.0696,,,,,
Denmark,DNK,1851,0.3114,,,,,
France,FRA,1851,20.0384,,,,,
Germany,DEU,1851,16.8691,,,,,
Hungary,HUN,1851,0.2748,,,,,
Netherlands,NLD,1851,3.1181,,,,,
Norway,NOR,1851,0.1502,,,,,
Poland,POL,1851,3.4588,,,,,
Spain,ESP,1851,0.5093,,,,,
Sweden,SWE,1851,0.2162,,,,,
United Kingdom,GBR,1851,116.6544,,,,,
United States of America,USA,1851,24.6331,,,,,
World,WLD,1851,197.856,1806.5666666666666,,,,
Australia,AUS,1852,-0.055,,,,,
Austria,AUT,1852,2.8103,,,,,
Belgium,BEL,1852,11.4097,,,,,
Canada,CAN,1852,0.0843,,,,,
Denmark,DNK,1852,0.3334,,,,,
France,FRA,1852,21.57,,,,,
Germany,DEU,1852,19.1737,,,,,
Hungary,HUN,1852,0.3444,,,,,
Netherlands,NLD,1852,3.7629,,,,,
Norway,NOR,1852,0.1502,,,,,
Poland,POL,1852,4.1293,,,,,
Spain,ESP,1852,0.5349,,,,,
Sweden,SWE,1852,0.2162,,,,,
United Kingdom,GBR,1852,116.2404,,,,,
United States of America,USA,1852,26.7912,,,,,
World,WLD,1852,208.848,2011.1666666666667,,,,
Australia,AUS,1853,-0.1099,,,,,
Austria,AUT,1853,3.2243,,,,,
Belgium,BEL,1853,11.7871,,,,,
Canada,CAN,1853,0.1026,,,,,
Denmark,DNK,1853,0.3591,,,,,
France,FRA,1853,25.3402,,,,,
Germany,DEU,1853,20.7602,,,,,
