Year,Electricity,Transportation,Industry,Agriculture,Commercial,Residential
1995,1989.60039329,1695.23786124,1636.385117394,555.391397627,424.57496758,367.34417465
1996,2062.2097347,1748.624608354,1663.018680302,559.042823605,431.185527494,398.75650812
1997,2128.119947615,1774.44934275,1659.12610969,555.677825371,422.457839272,380.32598969
1998,2214.2749853,1817.649947154,1623.2436339,577.739713743,396.414604345,345.91357358
1999,2228.51375024,1875.032737037,1585.449750032,557.350687483,394.711725605,365.67172543
2000,2333.442044575,1923.517886654,1563.471882569,555.880935871,405.291687915,386.498733245
2001,2294.65101898,1908.607284324,1501.008484533,565.047147672,395.976303828,376.6961731
2002,2310.832475685,1949.404977379,1481.578417098,567.495880898,395.89934199,373.87563852
2003,2342.02081922,1939.044631282,1457.224694115,572.052811976,410.785753165,392.437427505
2004,2375.69883421,1983.227169567,1504.633358275,592.01395442,409.083899376,380.40656243
2005,2441.624109185,2001.046878782,1467.101460747,574.30535344,400.688776049,370.44509282
2006,2385.431296305,1994.841682135,1498.604436314,586.29253419,387.060116767,335.324474505
2007,2452.09559861,1994.647813792,1490.072450368,602.786001002,399.681939913,357.77384838
2008,2398.66198866,1897.795053951,1433.465166989,591.390872474,407.328051217,367.11632144
2009,2184.31264959,1819.544411598,1284.473224654,596.439476439,409.486570951,358.57675338
2010,2299.360875635,1827.896543641,1375.234605895,604.097154852,411.092642393,361.199035325
2011,2197.267564265,1800.004153528,1378.580221234,592.030049937,406.484430635,356.34257766
2012,2059.93479745,1780.741401442,1365.884622447,577.589890489,387.276061542,318.39094303
2013,2078.170490725,1790.171841683,1413.360191896,567.487997275,410.146361285,372.637666775
