Year,Coal,Oil,Gas,Cement,Flaring,Other
1990,8659.79,9196.44,3790.18,492.52,256.79,336.43
1991,8574.09,9656.49,3851.52,504.69,272.16,346.64
1992,8361.17,9154.66,3901.37,525.92,239.79,337.51
1993,8470.03,9172.32,4007.8,549.57,232.44,317.71
1994,8513.75,9196.24,4040.17,586.74,312.93,324.77
1995,8758.44,9283.9,4196.85,620.2,324.36,332.88
1996,8976.96,9562.14,4381.6,633.56,348.55,330.67
1997,8927.3,9702.21,4395.06,658.83,350.78,346.14
1998,8689,9821.98,4443.5,656.6,334.98,349.65
1999,8809.09,10064.19,4586.17,688.05,328.42,361.86
2000,9156.64,10211.62,4727.82,718.16,345.58,351.66
2001,9208.43,10283.57,4771.72,750.75,334.08,344.46
2002,9630.18,10269.35,4913.65,779,323.11,350.03
2003,10466.57,10540.85,5096.2,857.43,343.44,348.21
2004,10813.39,10924.57,5257.67,895.93,341.45,377
2005,11498.5,11030.31,5376.29,966.78,346.55,380.53
2006,12136.24,11142.93,5531.01,1047.29,346.57,390.11
2007,12724.45,11184.31,5736.64,1126.2,342.25,385.4
2008,13149.67,11143.34,5905.5,1137.4,333.69,380.07
2009,13003.17,10899.6,5765.68,1170.61,328.64,345.32
2010,13918.22,11253.69,6205.78,1251.81,339.74,348.42
2011,14704.22,11310.15,6389.33,1344.75,356.25,375.29
2012,14867.8,11432.72,6523.14,1377.35,374.06,379.66
2013,14953.15,11516.63,6573.12,1441.33,382.02,409.57
2014,15014.88,11561.83,6604.98,1492.45,383.77,407.78
2015,14655.02,11770.02,6728.99,1440.67,381.19,427.64
2016,14322.99,11900.26,6914.85,1476.15,371.51,407.07
2017,14494.17,12085.29,7084.61,1499.95,384.21,426.38
2018,14762.69,12142.83,7419.41,1546.85,404.04,458.18
2019,14702.96,12325.91,7574.06,1615.73,432.39,435.53
2020,14267.03,10932.34,7520.82,1624.05,400,413.98
2021,14969.25,11513.17,7878.7,1666.88,402.22,436.65
2022,15449.18,11914.91,7758.75,1578.74,398.87,427.33
2023,15636.37,12278.24,7802.85,1540.29,411.34,424.95
2024,15805.25,12470.6,8009.83,1472.82,415.71,424.38
