code,name,agri,forest,year
ABW,Aruba,11.11,2.33,2023
AFG,Afghanistan,58.44,1.85,2023
AGO,Angola,36.95,52.09,2023
ALB,Albania,38.12,28.79,2023
AND,Andorra,39.87,34.04,2023
ARE,United Arab Emirates,5.52,4.47,2023
ARG,Argentina,42.44,10.32,2023
ARM,Armenia,58.59,11.62,2023
ASM,American Samoa,14.8,85.2,2023
ATG,Antigua and Barbuda,20.45,18.01,2023
AUS,Australia,47.22,17.42,2023
AUT,Austria,31.47,47.24,2023
AZE,Azerbaijan,57.83,14.11,2023
BDI,Burundi,83.89,10.89,2023
BEL,Belgium,44.38,22.6,2023
BEN,Benin,41.83,26.47,2023
BFA,Burkina Faso,53.4,22.17,2023
BGD,Bangladesh,72.31,14.49,2023
BGR,Bulgaria,46.09,36.22,2023
BHR,Bahrain,10.13,0.95,2023
BHS,"Bahamas, The",1.3,50.94,2023
BIH,Bosnia and Herzegovina,21.74,42.73,2023
BLR,Belarus,39.58,43.41,2023
BLZ,Belize,7.98,54.52,2023
BMU,Bermuda,5.56,18.52,2023
BOL,Bolivia,35.83,46.35,2023
BRA,Brazil,28.33,58.98,2023
BRB,Barbados,23.26,14.65,2023
BRN,Brunei Darussalam,2.54,72.11,2023
BTN,Bhutan,13.82,71.61,2023
BWA,Botswana,45.63,26.29,2023
CAF,Central African Republic,9.1,35.66,2023
CAN,Canada,6.47,39.46,2023
CHE,Switzerland,37.79,32.38,2023
CHI,Channel Islands,43.28,5.15,2021
CHL,Chile,14.4,25.01,2023
CHN,China,55.43,24.03,2023
CIV,Cote d'Ivoire,86.48,7.86,2023
CMR,Cameroon,20.94,42.67,2023
COD,"Congo, Dem. Rep.",15.48,54.19,2023
COG,"Congo, Rep.",31.19,64.13,2023
COL,Colombia,36.49,52.77,2023
COM,Comoros,71.47,16.98,2023
CPV,Cabo Verde,19.6,11.57,2023
CRI,Costa Rica,33.14,60.4,2023
CUB,Cuba,61.67,31.23,2023
CYM,Cayman Islands,11.25,52.47,2023
CYP,Cyprus,13.96,18.67,2023
CZE,Czechia,45.8,34.76,2023
DEU,Germany,47.47,32.68,2023
DJI,Djibouti,73.51,0.26,2023
DMA,Dominica,33.33,63.83,2023
DNK,Denmark,65.53,15.78,2023
DOM,Dominican Republic,55.35,44.99,2023
DZA,Algeria,17.36,0.83,2023
ECU,Ecuador,21.54,49.55,2023
EGY,"Egypt, Arab Rep.",4.08,0.05,2023
ERI,Eritrea,62.65,8.63,2023
ESP,Spain,49.58,37.19,2023
EST,Estonia,23.12,57.07,2023
ETH,Ethiopia,34.08,14.93,2023
FIN,Finland,7.44,73.72,2023
FJI,Fiji,17.06,63.5,2023
FRA,France,52.5,32.48,2023
